script,label,duration_s,energy_Wh,co2_g,avg_mcc,energy_reduction_pct,co2_reduction_pct,time_reduction_pct
script1,Baseline Python,73.21827930000018,1.7384825751106652,0.574947480275449,0.5990341639734972,,,
script2,Optimized Python,46.61906199999976,1.1265544482752206,0.3725718340246844,0.5953787801845557,35.19897959267677,35.198979592676764,36.328656661015465
script3,Julia,35.622737400000005,1.0127584619083376,0.3349374530054016,0.5939542936937002,41.74468721126703,41.74468721126702,51.34720763644069
